graph,type,path,n,arcs,edges,directed,step,name,formula,bits,bits per edge,redundancy,saved vs previous (%),saved vs (0) (%),saved vs (2) (%),H part,stored arcs,tree edges,components
power-US-Grid,undirected,Datasets/TestSet/Undirected/power-US-Grid.txt,4941,13188,6594,False,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",186757.50241749827,28.32233885615685,o(m),22.384234588643302,22.384234588643302,,0.0,13188.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 171444, ""13188 x 13""], [""lg C(n+m, n) - the separator bitvector"", 15313.50241749827, ""C(18129, 4941)""]]"
power-US-Grid,undirected,Datasets/TestSet/Undirected/power-US-Grid.txt,4941,13188,6594,False,1u,Wavelet tree: each edge stored once,"m'*ceil(lg n) + lg C(n+m', n),  m' = |E|",97078.47994356738,14.722244456106669,o(m),48.018966474210245,59.65452296022436,,0.0,6594.0,0.0,"[[""m'*ceil(lg n) - each edge stored once"", 85722, ""6594 x 13""], [""lg C(n+m', n)"", 11356.479943567374, ""C(11535, 4941)""]]"
power-US-Grid,undirected,Datasets/TestSet/Undirected/power-US-Grid.txt,4941,13188,6594,False,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",83470.74621699622,12.658590569759816,o(m),14.0172505116288,65.30984954700139,,72114.26627342885,6594.0,0.0,"[[""H(G) - in-degree entropy of the string"", 72114.26627342885, ""sum d lg(m/d) over 6594 arcs""], [""lg C(n+m, n) - the separator bitvector"", 11356.479943567374, """"]]"
power-US-Grid,undirected,Datasets/TestSet/Undirected/power-US-Grid.txt,4941,13188,6594,False,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",29803.34932283276,4.519767868188165,o(m) + o(n),64.29485697258062,87.61383216432988,,14569.128519909134,1654.0,4940.0,"[[""H(G-T) - entropy of what is left"", 14569.128519909134, ""1654 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 5352.2208029236235, """"], [""2n - LOUDS"", 9882, ""2 x 4941""]]"
power-US-Grid,undirected,Datasets/TestSet/Undirected/power-US-Grid.txt,4941,13188,6594,False,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",31942.53998129055,4.844182587396201,o(m) + o(n),-7.177685418124891,86.7247920017245,61.732054127980895,16708.319178366924,1654.0,4940.0,"[[""H(G-T) - entropy of what is left"", 16708.319178366924, ""1654 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 5352.2208029236235, """"], [""2n - LOUDS"", 9882, ""2 x 4941""]]"
power-US-Grid,undirected,Datasets/TestSet/Undirected/power-US-Grid.txt,4941,13188,6594,False,4,"Twin removal, then TREX","H(G0-T0) + lg C(n0+m0', n0) + 2n0 + lg C(N, n0)",30198.80473151535,4.579739874357802,o(m) + o(n) + o(N),-1.3268824399532475,87.44948227833522,,14091.135978540808,1608.0,4594.0,"[[""H(G0-T0) - entropy after contraction"", 14091.135978540808, ""1608 residual arcs, n0 = 4595""], [""lg C(n0+m0', n0)"", 5114.64593964964, """"], [""2n0 - LOUDS"", 9190, ""2 x 4595""], [""lg C(N, n0) - the class sizes in B"", 1803.0228133249, ""346 twins removed""]]"
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),2190318.0,24.82396808486525,,,0.0,,0.0,176468.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 2117616, ""176468 x 12""], [""n*ceil(lg m) - one offset per vertex"", 72702, ""4039 x 18""]]"
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",2145511.507496198,24.316153721878173,o(m),2.0456615205555195,2.0456615205555195,,0.0,176468.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 2117616, ""176468 x 12""], [""lg C(n+m, n) - the separator bitvector"", 27895.507496198443, ""C(180507, 4039)""]]"
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,1u,Wavelet tree: each edge stored once,"m'*ceil(lg n) + lg C(n+m', n),  m' = |E|",1082729.7214850842,12.271116819877646,o(m),49.53512401578193,50.56746456518715,,0.0,88234.0,0.0,"[[""m'*ceil(lg n) - each edge stored once"", 1058808, ""88234 x 12""], [""lg C(n+m', n)"", 23921.721485084065, ""C(92273, 4039)""]]"
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",949790.295216418,10.764447891021806,o(m),12.278172809953425,56.63687669021493,,925868.573731334,88234.0,0.0,"[[""H(G) - in-degree entropy of the string"", 925868.5737313341, ""sum d lg(m/d) over 88234 arcs""], [""lg C(n+m, n) - the separator bitvector"", 23921.721485084065, """"]]"
