Dataset,type,n,m,H(G),(0) adjacency lists,(2) Entropy-compressed adjacency string,(3b) TREX,H(G-T),(2)-(3b) tree extraction savings,(0)-(3b) total savings,H(G)-H(G-T),(2)-(3b) / n lg n,(H(G)-H(G-T)) / n lg n
Amazon0302.txt,directed,262111,1234877,21568082.67306736,27732117,22569890.03461549,18125470.410728704,16418207.58990848,4444419.623886786,9606646.589271296,5149875.0831588805,0.9420233899623078,1.0915492222305354
Cit-HepPh.txt,directed,34546,421578,5742618.878141321,7401622,5919121.579356101,5424499.836259455,5148440.249829379,494621.7430966459,1977122.1637405446,594178.6283119423,0.9496917170826904,1.1408445537444727
Slashdot0811.txt,directed,77360,905468,13134826.587526156,16940156,13525612.42731164,12319424.559387118,11706105.519640436,1206187.8679245226,4620731.440612882,1428721.0678857192,0.9601325324934445,1.1372702491994326
wikilink_graph.2005-03-01_edgelist.txt,directed,244112,3659390,53575092.89673463,71239484,54892254.22771952,50614790.15384837,48588799.19666416,4277464.073871151,20624693.846151628,4986293.700070471,0.9790673009103378,1.1413110736090952
Wiki-Vote.txt,directed,7115,103689,1106017.0527285289,1468912,1144119.8308026246,1079471.9490172511,1020726.6153852198,64647.881785373436,389440.05098274886,85290.43734330905,0.71004057970351,0.9367618845651129
fig2-example.txt,directed,8,14,34.938440932206184,74,53.22511600186708,46.303208887511296,9.65148445440323,6.921907114355783,27.696791112488704,25.286956477802953,0.2884127964314909,1.053623186575123
graph_A_skewed.txt,directed,1000,2997,14702.50914158626,41970,17940.274914375048,7757.107350991942,2009.40631359804,10183.167563383106,34212.892649008056,12693.102827988221,1.0218129624836034,1.2736682297572537
graph_B_uniform.txt,directed,1000,2997,4750.132614661305,41970,7987.898387450094,7766.513664589984,2018.8126271960805,221.38472286010983,34203.486335410016,2731.319987465224,0.02221448072088351,0.2740697479945338
G_barabasi_albert.txt,directed,40000,559804,8557893.125146227,9756864,8769880.294044755,8274014.57708441,7946154.242529291,495865.7169603454,1482849.42291559,611738.8826169362,0.8108893349270339,1.0003767526318497
G_bipartite.txt,directed,2000,1000000,9965784.28466227,11040000,9986597.319522718,9971229.41736527,9944422.150397671,15367.902157448232,1068770.5826347303,21362.134264599532,0.7007206123388463,0.9740358605484737
G_erdos_renyi.txt,directed,20000,999036,13981997.998780664,15385540,14123979.648689706,13881793.066532062,13680389.060605029,242186.5821576435,1503746.9334679376,301608.9381756354,0.8475344958101706,1.055483656737589
celegansneural.txt,directed,297,2345,17593.594083726544,24669,18928.155954370424,16931.528859794307,14760.174163036498,1996.627094576117,7737.471140205693,2833.4199206900466,0.818406255128859,1.1614029443949565
email-Eu-core.txt,directed,1005,25571,236498.74655093893,270785,242663.084186197,233027.95386689887,223904.45815802657,9635.130319298129,37757.04613310113,12594.288392912364,0.9613169336766365,1.2565582715019998
p2p-Gnutella24.txt,directed,26518,65369,927098.218379763,1404823,1006746.4077888074,644527.6198299028,501293.2202743098,362218.78795890464,760295.3801700972,425804.99810545315,0.9295439853922994,1.0927221008309742
CA-AstroPh.txt,undirected,18772,198110,2432467.2448473526,6299968,2524603.726029619,2275421.898772104,2148269.839767716,249181.82725751493,4024546.101227896,284197.4050796367,0.9350413415445914,1.066435405157103
facebook_combined.txt,undirected,4039,88234,925868.5737313488,2190318,949790.295216433,903115.188714629,871382.230202998,46675.106501803966,1287202.811285371,54486.343528350815,0.9646339299059115,1.1260686824983501
oregon1_010331.txt,undirected,10670,22002,169163.97731608036,786776,198933.2864871453,110419.17447540985,67098.12532591024,88514.11201173544,676356.8255245902,102065.85199017012,0.6199414584677612,0.7148561026534567
power-US-Grid.txt,undirected,4941,6594,72114.26627342764,240618,83470.746216995,29803.3493228329,14569.128519909274,53667.3968941621,210814.6506771671,57545.137753518364,0.8851774173353064,0.9491359627022413
bio-grid-yeast.txt,undirected,6008,156945,1634238.024941955,4194722,1671343.028900606,1598684.053166744,1549894.8809638135,72658.97573386203,2596037.9468332557,84343.14397814148,0.9634368799093669,1.118365551610398
large_twitch_edges.txt,undirected,168114,6797557,93559097.05587736,248746788,94701908.28032568,91697740.04691257,90224699.71494216,3004168.233413115,157049047.95308745,3334397.3409352005,1.029422495802789,1.1425803636848724
roadNet-PA.txt,undirected,1088092,1541899,29810068.99237979,88697782,32383280.39899046,11658314.101574931,8133798.706295698,20724966.29741553,77039467.89842507,21676270.28608409,0.9498190330522711,0.9934170115333565
